Sub-Curriculum Title,Sub-Curriculum Parent ID,Curriculum ID,Curriculum Title,Curriculum Description,Item Type,Item ID,Revision Number,Item Title,Initial Period (Item),Initial Number (Item),Effective Date,Sub-Curriculum ID,,,Active,Date Created
,,CUR-LSG-BED-QC-0001,Contract Lab Sample Submission (Bedford QC),"Training will cover how samples are sent out to contract lab facilities for testing. This will include the determination of testing required and test facility, preparation of samples, and data analysis.",DOC,LSG-BED-BED3172,H,BED3172 CONTRACT LABORATORY TESTING (PPA MA Sites),Days,28,22-Jun-25,,,,Yes,10-Apr-25
,,CUR-LSG-BED-QC-0001,Contract Lab Sample Submission (Bedford QC),"Training will cover how samples are sent out to contract lab facilities for testing. This will include the determination of testing required and test facility, preparation of samples, and data analysis.",OJT,LSG-BED-QC-OJT-0032,1,Contract Lab Sample Submission (Bedford and Chelmsford MA Sites),Days,28,10-Apr-25,,,,Yes,10-Apr-25
,,CUR-LSG-BED-QC-0002,35W Finished Good Inspection (Bedford QC),Training to cover finished goods inspection process and requirements specific to location.,ELEARN,LSG-BED-QC-LI-0002,A,Finished Good Inspection Defect Categories (Bedford and Chelmsford MA Site),Days,28,10-Apr-25,,,,Yes,10-Apr-25
,,CUR-LSG-BED-QC-0002,35W Finished Good Inspection (Bedford QC),Training to cover finished goods inspection process and requirements specific to location.,ELEARN,LSG-BED-MFG-LI-0002,A,Carboy Inspection (specs) (Bedford and Chelmsford MA Sites),Days,28,10-Apr-25,,,,Yes,10-Apr-25
,,CUR-LSG-BED-QC-0002,35W Finished Good Inspection (Bedford QC),Training to cover finished goods inspection process and requirements specific to location.,DOC,LSG-BED-BED3317,L,BED3317 QA/QC INSPECION OF FINAL PRODUCT (PPA MA Sites),Days,28,10-Apr-25,,,,Yes,10-Apr-25
,,CUR-LSG-BED-QC-0002,35W Finished Good Inspection (Bedford QC),Training to cover finished goods inspection process and requirements specific to location.,DOC,LSG-BED-BED3308,P,BED3308 MATERIAL DISPOSITION & LABELING (PPA MA Sites),Days,28,10-Apr-25,,,,Yes,10-Apr-25
,,CUR-LSG-BED-QC-0002,35W Finished Good Inspection (Bedford QC),Training to cover finished goods inspection process and requirements specific to location.,DOC,LSG-BED-8-0357-70-0899,E,8-0357-70-0899 BEDFORD FINISHED PRODUCT VISUAL INSP FRM (PPA MA Sites),Days,28,10-Apr-25,,,,Yes,10-Apr-25
,,CUR-LSG-BED-QC-0002,35W Finished Good Inspection (Bedford QC),Training to cover finished goods inspection process and requirements specific to location.,OJT,LSG-BED-QC-OJT-0006,1,35W Finished Good Inspection (Bedford MA Site),Days,28,10-Apr-25,,,,Yes,10-Apr-25
,,CUR-LSG-BED-QC-0002,35W Finished Good Inspection (Bedford QC),Training to cover finished goods inspection process and requirements specific to location.,ELEARN,LSG-BED-QC-LI-0009,A,QC - 35W Finals Process Tips (Bedford and Chelmsford MA Site),Days,28,10-Apr-25,,,,Yes,10-Apr-25
,,CUR-LSG-BED-QC-0003,2P and 220 Mill Finished Good Inspection (Bedford QC),Training to cover finished goods inspection process and requirements specific to location - covers both 2 Preston Court and 220 Mill Rd locations for POROS production.,ELEARN,LSG-BED-QC-LI-0002,A,Finished Good Inspection Defect Categories (Bedford and Chelmsford MA Site),Days,28,10-Apr-25,,,,Yes,10-Apr-25
,,CUR-LSG-BED-QC-0003,2P and 220 Mill Finished Good Inspection (Bedford QC),Training to cover finished goods inspection process and requirements specific to location - covers both 2 Preston Court and 220 Mill Rd locations for POROS production.,ELEARN,LSG-BED-MFG-LI-0002,A,Carboy Inspection (specs) (Bedford and Chelmsford MA Sites),Days,28,10-Apr-25,,,,Yes,10-Apr-25
